YEAR,JURISDICTION,AGE_GROUP,FINES,ARRESTS,CHARGES,POPULATION,FINES_PER_100K,ARRESTS_PER_100K,CHARGES_PER_100K
2023,ACT,0-16,10,0,0,93471,10.69850542,0,0
2023,ACT,17-25,82,0,0,60933,134.5740403,0,0
2023,ACT,26-39,110,0,0,112294,97.9571482,0,0
2023,ACT,40-64,79,0,0,135754,58.19349706,0,0
2023,ACT,65 and over,7,0,0,63907,10.95341668,0,0
2023,NSW,0-16,18,0,2,1696943,1.060730973,0,0.117858997
2023,NSW,17-25,4141,0,56,963234,429.9059211,0,5.813748269
2023,NSW,26-39,5055,0,81,1695628,298.1196347,0,4.77699118
2023,NSW,40-64,3692,0,47,2525703,146.1771238,0,1.860868043
2023,NSW,65 and over,379,0,1,1459691,25.96439931,0,0.06850765
2023,NT,17-25,41,2,6,30863,132.8451544,6.480251434,19.4407543
2023,NT,26-39,90,1,2,65369,137.67994,1.529777111,3.059554223
2023,NT,40-64,64,0,0,75110,85.20836107,0,0
2023,NT,65 and over,10,2,6,23370,42.78990158,8.557980317,25.67394095
2023,SA,0-16,3,0,0,356295,0.841998905,0,0
2023,SA,17-25,1387,0,0,203253,682.4007518,0,0
2023,SA,26-39,2272,0,0,353942,641.9130818,0,0
2023,SA,40-64,1805,0,0,569113,317.1602125,0,0
2023,SA,65 and over,302,0,0,370369,81.5403017,0,0
2023,TAS,0-16,0,0,0,108039,0,0,0
2023,TAS,17-25,440,0,13,55906,787.0353808,0,23.25331807
2023,TAS,26-39,1017,0,21,109627,927.691171,0,19.15586489
2023,TAS,40-64,837,0,3,177833,470.6662993,0,1.686975983
2023,TAS,65 and over,134,0,0,122333,109.5370832,0,0
2023,VIC,0-16,6,0,0,1366399,0.439110392,0,0
2023,VIC,17-25,4440,0,0,792040,560.5777486,0,0
2023,VIC,26-39,13162,0,0,1472558,893.8187834,0,0
2023,VIC,40-64,12162,0,0,2055690,591.6261693,0,0
2023,VIC,65 and over,1572,0,0,1129554,139.1699733,0,0
2023,WA,0-16,0,0,1,610301,0,0,0.163853574
2023,WA,17-25,706,1,34,317079,222.657445,0.315378817,10.72287979
2023,WA,26-39,1512,3,66,598946,252.443459,0.500879879,11.01935734
2023,WA,40-64,1227,3,50,894277,137.2058098,0.335466528,5.591108795
2023,WA,65 and over,147,0,6,463159,31.73856062,0,1.295451454
2024,ACT,0-16,7,0,0,93487,7.487672083,0,0
2024,ACT,17-25,3655,0,3,61730,5920.946055,0,4.859873643
2024,ACT,26-39,10863,1,6,114483,9488.745054,0.873492134,5.240952805
2024,ACT,40-64,10587,1,4,138259,7657.367694,0.72328022,2.893120882
2024,ACT,65 and over,1239,0,0,65896,1880.235523,0,0
2024,NSW,0-16,22,0,7,1695550,1.297514081,0,0.412845389
2024,NSW,17-25,5327,0,91,996438,534.6042604,0,9.132530072
2024,NSW,26-39,5303,0,67,1735688,305.5272607,0,3.860140763
2024,NSW,40-64,3652,0,38,2551551,143.1286304,0,1.48929024
2024,NSW,65 and over,421,0,5,1500087,28.06503889,0,0.333314001
2024,NT,0-16,1,0,0,58003,1.724048756,0,0
2024,NT,17-25,45,0,2,31202,144.2215243,0,6.409845523
2024,NT,26-39,112,0,2,65777,170.2722836,0,3.040576493
2024,NT,40-64,78,1,7,75574,103.2100987,1.323206394,9.262444756
2024,NT,65 and over,8,0,0,24513,32.6357443,0,0
2024,QLD,0-16,2104,0,0,1153292,182.4342838,0,0
2024,QLD,17-25,10451,0,0,653077,1600.270718,0,0
2024,QLD,26-39,29198,0,0,1103317,2646.383587,0,0
2024,QLD,40-64,29490,0,0,1715289,1719.243813,0,0
2024,QLD,65 and over,3789,0,0,958858,395.1575729,0,0
2024,SA,0-16,2,0,0,356679,0.560728274,0,0
2024,SA,17-25,1139,0,0,207401,549.17768,0,0
2024,SA,26-39,1778,0,0,360598,493.0698451,0,0
2024,SA,40-64,1483,0,0,572938,258.8412708,0,0
2024,SA,65 and over,199,0,0,380395,52.31404198,0,0
2024,TAS,17-25,493,0,10,56224,876.8497439,0,17.78599886
2024,TAS,26-39,1120,0,16,109129,1026.308314,0,14.66154734
2024,TAS,40-64,1025,0,6,177699,576.8181025,0,3.37649621
2024,TAS,65 and over,177,0,0,125675,140.8394669,0,0
2024,VIC,0-16,7,0,0,1380684,0.506995084,0,0
2024,VIC,17-25,4692,0,0,827580,566.9542522,0,0
2024,VIC,26-39,17100,0,0,1515318,1128.476003,0,0
2024,VIC,40-64,19129,0,0,2091099,914.7821313,0,0
2024,VIC,65 and over,2968,0,0,1164038,254.974494,0,0
2024,WA,0-16,1,0,2,616892,0.162102929,0,0.324205858
2024,WA,17-25,804,1,47,332504,241.8016024,0.300748262,14.1351683
2024,WA,26-39,1655,3,89,622888,265.6978462,0.481627516,14.28828297
2024,WA,40-64,1138,0,63,912829,124.6673802,0,6.901621224
2024,WA,65 and over,133,0,2,479965,27.71035388,0,0.416697051
